DATE	PREC	TEMP
24/08/1968	1.2645425	8.3
25/08/1968	6.9506	8.3
26/08/1968	3.3649	8.3
27/08/1968	2.519835	8.3
28/08/1968	2.44167	8.3
29/08/1968	2.3023625	8.3
30/08/1968	1.5805675	8.3
31/08/1968	0.5997475	8.3
01/09/1968	4.8106925	8.3
02/09/1968	2.829435	8.3
03/09/1968	0.6287225	8.3
04/09/1968	3.7222075	8.3
05/09/1968	1.2776475	8.3
06/09/1968	4.72862	8.3
07/09/1968	0.557465	8.3
08/09/1968	1.9786925	8.3
09/09/1968	3.3458575	8.3
10/09/1968	1.99992	8.3
11/09/1968	3.9927475	8.3
12/09/1968	1.59664	8.3
13/09/1968	1.5295425	8.3
14/09/1968	6.177805	8.3
15/09/1968	3.0242125	8.3
16/09/1968	3.2089	8.3
17/09/1968	11.67443	8.3
18/09/1968	0.51986	8.3
19/09/1968	0.92195	8.3
20/09/1968	4.3988225	8.3
21/09/1968	7.8164975	8.3
22/09/1968	0.7854825	8.3
23/09/1968	5.0417175	8.3
24/09/1968	2.51882	8.3
25/09/1968	0.7819775	8.3
26/09/1968	10.768245	8.3
27/09/1968	5.4396075	8.3
28/09/1968	5.1301475	8.3
29/09/1968	8.237955	8.3
30/09/1968	2.36896	8.3
01/10/1968	5.00509	8.3
02/10/1968	8.5521125	8.3
03/10/1968	14.252575	8.3
04/10/1968	0.3658025	8.3
05/10/1968	1.8615375	8.3
06/10/1968	5.73857	8.3
07/10/1968	5.601715	8.3
08/10/1968	3.7201025	8.3
09/10/1968	0.3280325	8.3
10/10/1968	2.9423275	8.3
11/10/1968	0.772475	8.3
12/10/1968	21.083135	8.3
13/10/1968	14.72553	8.3
14/10/1968	6.4475625	8.3
15/10/1968	14.16104	8.3
16/10/1968	17.0722125	8.3
17/10/1968	0.743755	8.3
18/10/1968	2.5359525	8.3
19/10/1968	1.8277125	8.3
20/10/1968	1.98759	8.3
21/10/1968	11.204165	8.3
22/10/1968	9.980375	8.3
23/10/1968	3.216995	8.3
24/10/1968	0.18239	8.3
25/10/1968	3.5145975	8.3
26/10/1968	0.828005	8.3
27/10/1968	2.540275	8.3
28/10/1968	6.9592725	8.3
29/10/1968	1.7212025	8.3
30/10/1968	5.38417	8.3
31/10/1968	3.2346225	8.3
01/11/1968	6.9756275	8.3
02/11/1968	15.4484425	8.3
03/11/1968	3.6613325	8.3
04/11/1968	2.028915	8.3
05/11/1968	3.3396925	8.3
06/11/1968	2.170555	8.3
07/11/1968	10.5509225	8.3
08/11/1968	0.748385	8.3
09/11/1968	1.1537225	8.3
10/11/1968	1.9765775	8.3
11/11/1968	2.656675	8.3
12/11/1968	2.0996225	8.3
13/11/1968	0.091195	8.3
14/11/1968	0.5018725	8.3
15/11/1968	2.4783775	8.3
16/11/1968	3.5910725	8.3
17/11/1968	13.1893075	8.3
18/11/1968	36.4097375	8.3
19/11/1968	13.6646775	8.3
20/11/1968	2.2066475	8.3
21/11/1968	21.79797	8.3
22/11/1968	32.2408575	8.3
23/11/1968	34.7157	8.3
24/11/1968	15.6046825	8.3
25/11/1968	12.6046225	8.3
26/11/1968	18.309165	8.3
27/11/1968	2.4681625	8.3
28/11/1968	0.4636725	8.3
29/11/1968	8.9181625	8.3
30/11/1968	1.2885075	8.3
01/12/1968	2.974905	8.3
02/12/1968	35.7061875	8.3
03/12/1968	9.61688	8.3
04/12/1968	1.076665	8.3
05/12/1968	0.70313	8.3
06/12/1968	0.4060325	8.3
07/12/1968	2.304915	8.3
08/12/1968	0.09298	8.3
09/12/1968	0.0968125	8.3
10/12/1968	1.4388375	8.3
11/12/1968	1.1085575	8.3
12/12/1968	10.2539575	8.3
13/12/1968	17.163475	8.3
14/12/1968	0.9373625	8.3
15/12/1968	0.0972125	8.3
16/12/1968	1.22392	8.3
17/12/1968	1.22371	8.3
18/12/1968	4.6687975	8.3
19/12/1968	4.2879475	8.3
20/12/1968	0.18752	8.3
21/12/1968	0.25092	8.3
22/12/1968	2.1048575	8.3
23/12/1968	0.1948675	8.3
24/12/1968	0.21309	8.3
25/12/1968	5.292225	8.3
26/12/1968	3.04418	8.3
27/12/1968	0.0124725	8.3
28/12/1968	0.5872275	8.3
29/12/1968	0	8.3
30/12/1968	1.7007025	8.3
31/12/1968	0.7194725	8.3
